dataset,horizon_h,model,nRMSE_legacy,nRMSE_corrected,delta_pp,DM_corr_vs_leg,p_value
kelmarsh,1,MLP,12.3925,11.7207,0.6719,-2.1737,0.03
kelmarsh,1,LSTM,11.9547,11.6048,0.3499,-1.0301,0.3032
kelmarsh,1,GRU,12.2104,11.5753,0.6351,-1.765,0.0779
kelmarsh,1,DLinear,13.0206,11.5684,1.4521,-4.2568,0.0
kelmarsh,1,PatchTST,17.1948,16.2543,0.9405,-3.9021,0.0001
kelmarsh,2,MLP,16.8559,16.0904,0.7655,-3.1704,0.0016
kelmarsh,2,LSTM,16.2901,15.9071,0.3829,-2.0733,0.0384
kelmarsh,2,GRU,16.1725,15.8952,0.2773,-1.4527,0.1466
kelmarsh,2,DLinear,16.6784,15.8778,0.8006,-4.0119,0.0001
kelmarsh,2,PatchTST,20.159,19.7144,0.4446,-1.9856,0.0473
kelmarsh,3,MLP,19.7048,18.902,0.8028,-3.104,0.002
kelmarsh,3,LSTM,19.2502,18.7466,0.5036,-2.4738,0.0135
kelmarsh,3,GRU,19.0464,18.6639,0.3824,-2.073,0.0384
kelmarsh,3,DLinear,19.3438,18.7311,0.6126,-3.8604,0.0001
kelmarsh,3,PatchTST,22.6235,22.0058,0.6178,-2.8552,0.0044
penmanshiel,1,MLP,13.254,11.6222,1.6318,-3.2514,0.0012
penmanshiel,1,LSTM,12.9273,11.4787,1.4486,-3.7781,0.0002
penmanshiel,1,GRU,12.835,11.4458,1.3892,-4.1011,0.0
penmanshiel,1,DLinear,14.4249,11.832,2.5929,-5.5196,0.0
penmanshiel,1,PatchTST,17.5853,15.7934,1.7919,-5.5579,0.0
penmanshiel,2,MLP,17.2842,16.3787,0.9056,-2.149,0.0319
penmanshiel,2,LSTM,17.6298,16.356,1.2737,-3.2044,0.0014
penmanshiel,2,GRU,17.5442,16.3606,1.1836,-3.2596,0.0012
penmanshiel,2,DLinear,18.3822,16.7929,1.5893,-3.5398,0.0004
penmanshiel,2,PatchTST,21.4946,20.3335,1.1611,-4.4425,0.0
penmanshiel,3,MLP,20.0902,19.1299,0.9602,-2.7792,0.0056
penmanshiel,3,LSTM,20.1464,19.1943,0.9521,-3.0086,0.0027
penmanshiel,3,GRU,20.1844,19.23,0.9544,-2.6963,0.0071
penmanshiel,3,DLinear,20.7567,19.6393,1.1174,-3.6234,0.0003
penmanshiel,3,PatchTST,23.2031,22.34,0.8631,-3.0368,0.0025
